case_id,concept:name,time:timestamp,lifecycle:transition,robot_id,org:resource,execution_id,state,battery,x,y,z,msg_id,msg_payload,msg_role,msg_sender,msg_receiver
single_drone_inspection_mapping_001,takeoff,2026-01-12T06:30:00.000Z,start,drone_1,uav,single_drone_inspection_mapping_001_exec_1,inprogress,87.3,0.0,0.0,0.0,null,null,null,null,null
single_drone_inspection_mapping_001,takeoff,2026-01-12T06:30:25.000Z,complete,drone_1,uav,single_drone_inspection_mapping_001_exec_1,done,86.6,0.0,0.0,3.0,null,null,null,null,null
single_drone_inspection_mapping_001,ascend,2026-01-12T06:30:26.000Z,start,drone_1,uav,single_drone_inspection_mapping_001_exec_2,inprogress,86.6,0.0,0.0,3.0,null,null,null,null,null
single_drone_inspection_mapping_001,ascend,2026-01-12T06:30:46.000Z,null,drone_1,uav,single_drone_inspection_mapping_001_exec_2,inprogress,86.0,0.0,0.0,12.53,null,null,null,null,null
single_drone_inspection_mapping_001,ascend,2026-01-12T06:31:06.000Z,complete,drone_1,uav,single_drone_inspection_mapping_001_exec_2,done,85.4,0.0,0.0,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,navigate,2026-01-12T06:31:07.000Z,start,drone_1,uav,single_drone_inspection_mapping_001_exec_3,inprogress,85.4,0.0,0.0,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,navigate,2026-01-12T06:32:04.000Z,null,drone_1,uav,single_drone_inspection_mapping_001_exec_3,inprogress,83.8,14.39,13.51,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,navigate,2026-01-12T06:33:01.000Z,null,drone_1,uav,single_drone_inspection_mapping_001_exec_3,inprogress,82.1,28.77,27.02,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,navigate,2026-01-12T06:33:58.000Z,null,drone_1,uav,single_drone_inspection_mapping_001_exec_3,inprogress,80.4,43.16,40.53,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,navigate,2026-01-12T06:34:56.000Z,complete,drone_1,uav,single_drone_inspection_mapping_001_exec_3,done,78.8,57.54,54.04,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,inspect,2026-01-12T06:34:57.000Z,start,drone_1,uav,single_drone_inspection_mapping_001_exec_4,inprogress,78.8,57.54,54.04,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,inspect,2026-01-12T06:35:48.000Z,null,drone_1,uav,single_drone_inspection_mapping_001_exec_4,inprogress,78.0,57.54,54.04,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,inspect,2026-01-12T06:36:39.000Z,complete,drone_1,uav,single_drone_inspection_mapping_001_exec_4,done,77.2,57.54,54.04,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,capture_image,2026-01-12T06:36:40.000Z,start,drone_1,uav,single_drone_inspection_mapping_001_exec_5,inprogress,77.2,57.54,54.04,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,capture_image,2026-01-12T06:37:00.000Z,complete,drone_1,uav,single_drone_inspection_mapping_001_exec_5,done,76.7,57.54,54.04,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,hover,2026-01-12T06:37:01.000Z,start,drone_1,uav,single_drone_inspection_mapping_001_exec_6,inprogress,76.7,57.54,54.04,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,hover,2026-01-12T06:37:31.000Z,null,drone_1,uav,single_drone_inspection_mapping_001_exec_6,inprogress,76.2,57.54,54.04,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,hover,2026-01-12T06:38:01.000Z,complete,drone_1,uav,single_drone_inspection_mapping_001_exec_6,done,75.7,57.54,54.04,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,map_area,2026-01-12T06:38:02.000Z,start,drone_1,uav,single_drone_inspection_mapping_001_exec_7,inprogress,75.7,57.54,54.04,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,map_area,2026-01-12T06:38:52.000Z,null,drone_1,uav,single_drone_inspection_mapping_001_exec_7,inprogress,74.7,60.42,49.25,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,map_area,2026-01-12T06:39:42.000Z,null,drone_1,uav,single_drone_inspection_mapping_001_exec_7,inprogress,73.8,63.31,44.47,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,map_area,2026-01-12T06:40:32.000Z,null,drone_1,uav,single_drone_inspection_mapping_001_exec_7,inprogress,72.9,66.19,39.68,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,map_area,2026-01-12T06:41:22.000Z,null,drone_1,uav,single_drone_inspection_mapping_001_exec_7,inprogress,72.0,69.07,34.89,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,map_area,2026-01-12T06:42:12.000Z,null,drone_1,uav,single_drone_inspection_mapping_001_exec_7,inprogress,71.1,71.95,30.1,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,map_area,2026-01-12T06:43:02.000Z,null,drone_1,uav,single_drone_inspection_mapping_001_exec_7,inprogress,70.1,74.84,25.32,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,map_area,2026-01-12T06:43:53.000Z,complete,drone_1,uav,single_drone_inspection_mapping_001_exec_7,done,69.2,77.72,20.53,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,navigate,2026-01-12T06:43:54.000Z,start,drone_1,uav,single_drone_inspection_mapping_001_exec_8,inprogress,69.2,77.72,20.53,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,navigate,2026-01-12T06:44:56.000Z,null,drone_1,uav,single_drone_inspection_mapping_001_exec_8,inprogress,67.7,51.81,13.69,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,navigate,2026-01-12T06:45:58.000Z,null,drone_1,uav,single_drone_inspection_mapping_001_exec_8,inprogress,66.3,25.91,6.84,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,navigate,2026-01-12T06:47:01.000Z,complete,drone_1,uav,single_drone_inspection_mapping_001_exec_8,done,64.8,0.0,0.0,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,land,2026-01-12T06:47:02.000Z,start,drone_1,uav,single_drone_inspection_mapping_001_exec_9,inprogress,64.8,0.0,0.0,22.06,null,null,null,null,null
single_drone_inspection_mapping_001,land,2026-01-12T06:47:15.000Z,null,drone_1,uav,single_drone_inspection_mapping_001_exec_9,inprogress,64.5,0.0,0.0,11.03,null,null,null,null,null
single_drone_inspection_mapping_001,land,2026-01-12T06:47:29.000Z,complete,drone_1,uav,single_drone_inspection_mapping_001_exec_9,done,64.3,0.0,0.0,0.0,null,null,null,null,null
single_drone_inspection_mapping_002,takeoff,2026-01-12T07:02:00.000Z,start,drone_1,uav,single_drone_inspection_mapping_002_exec_1,inprogress,80.3,0.0,0.0,0.0,null,null,null,null,null
single_drone_inspection_mapping_002,takeoff,2026-01-12T07:02:29.000Z,complete,drone_1,uav,single_drone_inspection_mapping_002_exec_1,done,79.3,0.0,0.0,3.0,null,null,null,null,null
single_drone_inspection_mapping_002,ascend,2026-01-12T07:02:30.000Z,start,drone_1,uav,single_drone_inspection_mapping_002_exec_2,inprogress,79.3,0.0,0.0,3.0,null,null,null,null,null
single_drone_inspection_mapping_002,ascend,2026-01-12T07:02:45.000Z,null,drone_1,uav,single_drone_inspection_mapping_002_exec_2,inprogress,78.6,0.0,0.0,10.96,null,null,null,null,null
single_drone_inspection_mapping_002,ascend,2026-01-12T07:03:00.000Z,complete,drone_1,uav,single_drone_inspection_mapping_002_exec_2,done,77.9,0.0,0.0,18.93,null,null,null,null,null
single_drone_inspection_mapping_002,navigate,2026-01-12T07:03:01.000Z,start,drone_1,uav,single_drone_inspection_mapping_002_exec_3,inprogress,77.9,0.0,0.0,18.93,null,null,null,null,null
single_drone_inspection_mapping_002,navigate,2026-01-12T07:03:49.000Z,null,drone_1,uav,single_drone_inspection_mapping_002_exec_3,inprogress,76.1,5.11,11.54,18.93,null,null,null,null,null
single_drone_inspection_mapping_002,navigate,2026-01-12T07:04:37.000Z,null,drone_1,uav,single_drone_inspection_mapping_002_exec_3,inprogress,74.3,10.23,23.07,18.93,null,null,null,null,null
single_drone_inspection_mapping_002,navigate,2026-01-12T07:05:25.000Z,null,drone_1,uav,single_drone_inspection_mapping_002_exec_3,inprogress,72.4,15.34,34.61,18.93,null,null,null,null,null
single_drone_inspection_mapping_002,navigate,2026-01-12T07:06:16.000Z,complete,drone_1,uav,single_drone_inspection_mapping_002_exec_3,done,70.6,20.46,46.15,18.93,null,null,null,null,null
single_drone_inspection_mapping_002,inspect,2026-01-12T07:07:20.000Z,start,drone_1,uav,single_drone_inspection_mapping_002_exec_4,inprogress,70.6,20.46,46.15,18.93,null,null,null,null,null
single_drone_inspection_mapping_002,inspect,2026-01-12T07:08:04.000Z,null,drone_1,uav,single_drone_inspection_mapping_002_exec_4,inprogress,69.8,20.46,46.15,18.93,null,null,null,null,null
single_drone_inspection_mapping_002,inspect,2026-01-12T07:08:48.000Z,null,drone_1,uav,single_drone_inspection_mapping_002_exec_4,inprogress,68.9,20.46,46.15,18.93,null,null,null,null,null
single_drone_inspection_mapping_002,inspect,2026-01-12T07:09:34.000Z,complete,drone_1,uav,single_drone_inspection_mapping_002_exec_4,done,68.1,20.46,46.15,18.93,null,null,null,null,null
single_drone_inspection_mapping_002,capture_image,2026-01-12T07:09:35.000Z,start,drone_1,uav,single_drone_inspection_mapping_002_exec_5,inprogress,68.1,20.46,46.15,18.93,null,null,null,null,null
