case_id,concept:name,time:timestamp,lifecycle:transition,robot_id,org:resource,execution_id,state,battery,x,y,z,msg_id,msg_payload,msg_role,msg_sender,msg_receiver
single_ground_robot_delivery_patrol_001,boot,2026-01-10T08:00:00.000Z,start,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_1,inprogress,89.9,0.0,0.0,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,boot,2026-01-10T08:00:20.000Z,complete,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_1,done,89.7,0.0,0.0,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,navigate,2026-01-10T08:00:21.000Z,start,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_2,inprogress,89.7,0.0,0.0,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,navigate,2026-01-10T08:01:32.000Z,null,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_2,inprogress,87.8,5.63,1.73,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,navigate,2026-01-10T08:02:43.000Z,null,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_2,inprogress,85.9,11.27,3.47,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,navigate,2026-01-10T08:03:56.000Z,complete,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_2,done,84.0,16.9,5.2,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,pickup,2026-01-10T08:03:57.000Z,start,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_3,inprogress,84.0,16.9,5.2,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,pickup,2026-01-10T08:04:17.000Z,null,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_3,inprogress,83.8,16.9,5.2,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,pickup,2026-01-10T08:04:37.000Z,complete,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_3,done,83.6,16.9,5.2,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,patrol,2026-01-10T08:04:38.000Z,start,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_4,inprogress,83.6,16.9,5.2,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,patrol,2026-01-10T08:05:15.000Z,null,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_4,inprogress,82.9,17.85,5.55,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,patrol,2026-01-10T08:05:52.000Z,null,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_4,inprogress,82.3,18.8,5.89,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,patrol,2026-01-10T08:06:29.000Z,null,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_4,inprogress,81.6,19.75,6.23,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,patrol,2026-01-10T08:07:07.000Z,complete,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_4,done,81.0,20.7,6.57,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,navigate,2026-01-10T08:07:08.000Z,start,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_5,inprogress,81.0,20.7,6.57,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,navigate,2026-01-10T08:08:03.000Z,null,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_5,inprogress,79.3,22.1,9.05,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,navigate,2026-01-10T08:08:58.000Z,null,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_5,inprogress,77.6,23.5,11.53,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,navigate,2026-01-10T08:09:53.000Z,null,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_5,inprogress,75.9,24.9,14.01,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,navigate,2026-01-10T08:10:49.000Z,complete,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_5,done,74.2,26.29,16.49,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,deliver,2026-01-10T08:10:50.000Z,start,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_6,inprogress,74.2,26.29,16.49,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,deliver,2026-01-10T08:11:15.000Z,null,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_6,inprogress,73.9,26.29,16.49,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,deliver,2026-01-10T08:11:41.000Z,complete,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_6,done,73.7,26.29,16.49,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,patrol,2026-01-10T08:11:42.000Z,start,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_7,inprogress,73.7,26.29,16.49,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,patrol,2026-01-10T08:13:15.000Z,null,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_7,inprogress,72.4,24.66,14.88,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,patrol,2026-01-10T08:14:48.000Z,complete,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_7,done,71.2,23.03,13.27,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,navigate,2026-01-10T08:14:49.000Z,start,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_8,inprogress,71.2,23.03,13.27,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,navigate,2026-01-10T08:16:01.000Z,null,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_8,inprogress,69.9,15.36,8.84,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,navigate,2026-01-10T08:17:13.000Z,null,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_8,inprogress,68.6,7.68,4.42,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,navigate,2026-01-10T08:18:26.000Z,complete,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_8,done,67.3,0.0,0.0,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,dock,2026-01-10T08:18:27.000Z,start,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_9,inprogress,67.3,0.0,0.0,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_001,dock,2026-01-10T08:18:59.000Z,complete,rover_1,ground_rover,single_ground_robot_delivery_patrol_001_exec_9,done,67.2,0.0,0.0,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_002,boot,2026-01-10T08:25:00.000Z,start,rover_1,ground_rover,single_ground_robot_delivery_patrol_002_exec_1,inprogress,75.5,0.0,0.0,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_002,boot,2026-01-10T08:25:32.000Z,complete,rover_1,ground_rover,single_ground_robot_delivery_patrol_002_exec_1,done,75.3,0.0,0.0,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_002,navigate,2026-01-10T08:25:33.000Z,start,rover_1,ground_rover,single_ground_robot_delivery_patrol_002_exec_2,inprogress,75.3,0.0,0.0,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_002,navigate,2026-01-10T08:26:41.000Z,null,rover_1,ground_rover,single_ground_robot_delivery_patrol_002_exec_2,inprogress,74.2,1.79,1.13,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_002,navigate,2026-01-10T08:27:49.000Z,null,rover_1,ground_rover,single_ground_robot_delivery_patrol_002_exec_2,inprogress,73.2,3.58,2.26,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_002,navigate,2026-01-10T08:28:57.000Z,null,rover_1,ground_rover,single_ground_robot_delivery_patrol_002_exec_2,inprogress,72.1,5.37,3.38,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_002,navigate,2026-01-10T08:30:05.000Z,null,rover_1,ground_rover,single_ground_robot_delivery_patrol_002_exec_2,inprogress,71.0,7.16,4.51,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_002,navigate,2026-01-10T08:31:13.000Z,complete,rover_1,ground_rover,single_ground_robot_delivery_patrol_002_exec_2,done,70.0,8.95,5.64,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_002,pickup,2026-01-10T08:31:14.000Z,start,rover_1,ground_rover,single_ground_robot_delivery_patrol_002_exec_3,inprogress,70.0,8.95,5.64,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_002,pickup,2026-01-10T08:31:51.000Z,complete,rover_1,ground_rover,single_ground_robot_delivery_patrol_002_exec_3,done,69.0,8.95,5.64,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_002,navigate,2026-01-10T08:31:52.000Z,start,rover_1,ground_rover,single_ground_robot_delivery_patrol_002_exec_4,inprogress,69.0,8.95,5.64,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_002,navigate,2026-01-10T08:33:10.000Z,null,rover_1,ground_rover,single_ground_robot_delivery_patrol_002_exec_4,inprogress,67.6,14.96,8.18,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_002,navigate,2026-01-10T08:34:28.000Z,null,rover_1,ground_rover,single_ground_robot_delivery_patrol_002_exec_4,inprogress,66.2,20.97,10.72,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_002,navigate,2026-01-10T08:35:46.000Z,null,rover_1,ground_rover,single_ground_robot_delivery_patrol_002_exec_4,inprogress,64.9,26.98,13.26,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_002,navigate,2026-01-10T08:37:05.000Z,complete,rover_1,ground_rover,single_ground_robot_delivery_patrol_002_exec_4,done,63.5,33.0,15.8,0.0,null,null,null,null,null
single_ground_robot_delivery_patrol_002,deliver,2026-01-10T08:37:06.000Z,start,rover_1,ground_rover,single_ground_robot_delivery_patrol_002_exec_5,inprogress,63.5,33.0,15.8,0.0,null,null,null,null,null
