case_id,concept:name,time:timestamp,lifecycle:transition,robot_id,org:resource,execution_id,state,battery,x,y,z,msg_id,msg_payload,msg_role,msg_sender,msg_receiver
smart_agriculture_heterogeneous_team_001,survey_field,2026-01-20T06:00:00.000Z,start,drone_scout_1,drone_scout,smart_agriculture_heterogeneous_team_001_exec_1,inprogress,84.2,0.0,0.0,5.0,null,null,null,null,null
smart_agriculture_heterogeneous_team_001,survey_field,2026-01-20T06:00:41.000Z,null,drone_scout_1,drone_scout,smart_agriculture_heterogeneous_team_001_exec_1,inprogress,83.3,6.93,6.99,7.59,null,null,null,null,null
smart_agriculture_heterogeneous_team_001,survey_field,2026-01-20T06:01:22.000Z,null,drone_scout_1,drone_scout,smart_agriculture_heterogeneous_team_001_exec_1,inprogress,82.4,13.86,13.98,10.17,null,null,null,null,null
smart_agriculture_heterogeneous_team_001,survey_field,2026-01-20T06:02:03.000Z,null,drone_scout_1,drone_scout,smart_agriculture_heterogeneous_team_001_exec_1,inprogress,81.5,20.79,20.97,12.76,null,null,null,null,null
smart_agriculture_heterogeneous_team_001,survey_field,2026-01-20T06:02:44.000Z,null,drone_scout_1,drone_scout,smart_agriculture_heterogeneous_team_001_exec_1,inprogress,80.6,27.72,27.97,15.35,null,null,null,null,null
smart_agriculture_heterogeneous_team_001,survey_field,2026-01-20T06:03:25.000Z,null,drone_scout_1,drone_scout,smart_agriculture_heterogeneous_team_001_exec_1,inprogress,79.7,34.65,34.96,17.93,null,null,null,null,null
smart_agriculture_heterogeneous_team_001,survey_field,2026-01-20T06:04:06.000Z,complete,drone_scout_1,drone_scout,smart_agriculture_heterogeneous_team_001_exec_1,done,78.8,41.58,41.95,20.52,null,null,null,null,null
smart_agriculture_heterogeneous_team_001,detect_patch,2026-01-20T06:04:07.000Z,start,drone_scout_1,drone_scout,smart_agriculture_heterogeneous_team_001_exec_2,inprogress,78.8,41.58,41.95,20.52,null,null,null,null,null
smart_agriculture_heterogeneous_team_001,detect_patch,2026-01-20T06:04:37.000Z,complete,drone_scout_1,drone_scout,smart_agriculture_heterogeneous_team_001_exec_2,done,78.2,41.58,41.95,20.52,null,null,null,null,null
smart_agriculture_heterogeneous_team_001,send_patch_coordinates,2026-01-20T06:04:38.000Z,start,drone_scout_1,drone_scout,smart_agriculture_heterogeneous_team_001_exec_3,inprogress,78.2,41.58,41.95,20.52,msg_7cba972dd4,weed patch coordinates and density,send,drone_scout_1,sprayer_1
